eliot-from-gutenberg	2021-01-11	Mrs., Mr., Miss, London, sidenote	10	857,588	81	33,748,542
epidemiology-from-cord19	2021-01-11	SARS, COVID-19, patient, covid-19, China	863	4,488,285	50	199,033,594
erasmus-from-gutenberg	2021-01-11	man, haue, God, Christ, thing	9	305,847	87	14,442,999
europe-from-cord19	2021-01-11	Europe, COVID-19, patient, SARS, european	458	4,738,516	50	194,736,189
franklin-from-gutenberg	2021-01-11	Philadelphia, New, Mr., London, Franklin	8	529,910	73	22,369,415
gibbon-from-gutenberg	2021-01-11	Latin, Gibbon, year, life, history	2	56,360	61	5,527,095
great-books	2021-01-11	man, God, thing, good, Rome	222	17,991,889	78	627,563,811
grey-from-gutenberg	2021-01-11	Jim, Mr., Indians, Wal, Miss	15	1,356,942	92	50,349,760
h1n1-from-cord19	2021-01-11	SARS, COVID-19, virus, patient, H1N1	2,643	16,791,086	46	655,383,257
hardy-from-gutenberg	2021-01-11	Mrs., Mr., time, man, good	11	1,163,979	83	44,021,527
hawthorne-from-gutenberg	2021-01-11	Mr., man, old, England, little	19	1,339,417	73	50,928,046
history-from-cord19	2021-01-11	SARS, COVID-19, disease, virus, die	241	1,865,152	50	79,545,771
human-from-cord19	2021-01-11	SARS, cell, virus, COVID-19, RNA	8,392	62,266,534	47	2,443,274,751
hume-from-gutenberg	2021-01-11	reason, object, nature, cause, principle	7	896,051	59	34,845,040
hume-from-wikipedia	2021-01-11	Wikipedia, University, ISBN, Press, Philosophy	1,535	4,616,402	63	364,910,788
infection-from-cord19	2021-01-11	infection, virus, respiratory, patient, SARS	150	634,781	44	35,040,011
influenza-from-cord19	2021-01-11	SARS, COVID-19, virus, patient, cell	6,406	39,321,102	46	1,538,364,831
irving-from-gutenberg	2021-01-11	time, great, Mr., old, little	11	1,245,202	68	48,424,136
james-from-gutenberg	2021-01-11	thing, Mr., God, way, mind	10	901,162	70	35,928,816
jefferson-from-gutenberg	2021-01-11	States, United, Congress, August, dear	4	154,047	62	8,680,415
johnson-from-gutenberg	2021-01-11	Mr., man, time, great, Dr.	17	1,643,404	66	61,510,894
kant-from-gutenberg	2021-01-11	law, reason, principle, moral, end	4	110,881	53	6,736,852
kant-from-wikipedia	2021-01-11	Wikipedia, University, ISBN, Press, Philosophy	2,585	7,713,315	62	635,668,276
keats-from-gutenberg	2021-01-11	eye, God, like, St., Lycius	4	207,971	91	11,246,018
keller-from-gutenberg	2021-01-11	God, man, little, world, word	3	167,783	84	9,130,473
kipling-from-gutenberg	2021-01-11	man, God, Sir, King, Sahib	28	1,566,993	92	60,652,450
lawrence-from-gutenberg	2021-01-11	like, man, look, God, love	14	828,091	92	31,514,655
libraries-from-cord19	2021-01-11	SARS, COVID-19, RNA, patient, study	115	774,762	49	53,121,353
lincoln-from-gutenberg	2021-01-11	United, States, Union, Congress, President	19	735,812	71	29,267,886
livingstone-from-gutenberg	2021-01-11	man, Livingstone, Lake, Africa, Zambesi	3	570,260	76	23,655,813
locke-from-gutenberg	2021-01-11	man, God, thing, substance, reason	3	332,427	67	14,067,305
london-from-gutenberg	2021-01-11	man, San, Mr., God, time	35	2,005,962	88	72,946,560
marx-from-gutenberg	2021-01-11	french, France, socialism, german, class	3	88,931	58	6,716,996
melville-from-gutenberg	2021-01-11	like, man, old, good, look	13	979,121	80	39,618,387
mill-from-gutenberg	2021-01-11	great, Mr., society, person, human	8	388,248	52	16,530,092
milton-from-gutenberg	2021-01-11	thy, Heaven, God, thou, thee	7	336,000	84	16,969,854
moore-from-gutenberg	2021-01-11	Mr., Lord, Sir, Lady, England	9	1,063,843	76	42,931,036
nietzsche-from-gutenberg	2021-01-11	thing, life, great, time, german	7	322,683	62	15,494,136
pandemic-from-cord19	2021-01-11	COVID-19, covid-19, SARS, patient, pandemic	4,493	16,376,985	48	628,484,568
penn-from-gutenberg	2021-01-11	Lord, God, Christ, man, life	3	153,747	74	8,700,570
plato-from-gutenberg	2021-01-11	Plato, SOCRATES, Socrates, man, God	27	969,388	77	35,208,613
poe-from-gutenberg	2021-01-11	time, Raven, Mr., water, wall	5	144,505	79	8,643,137
potter-from-gutenberg	2021-01-11	illustration, Willie, Tod, Tittlemouse, Simpkin	21	32,176	90	4,297,074
ppe-from-cord19	2021-01-11	PPE, COVID-19, patient, SARS, covid-19	325	1,203,231	48	53,495,616
proteins-from-cord19	2021-01-11	protein, SARS, cell, RNA, Fig	2,507	25,700,930	48	1,013,794,879
roosevelt-from-gutenberg	2021-01-11	people, japanese, american, United, States	4	127,545	64	7,824,346
rousseau-from-gutenberg	2021-01-11	man, nature, émile, way, time	3	79,297	67	6,119,236
sars-from-cord19	2021-01-11	SARS, COVID-19, CoV-2, ACE2, RNA	2,472	2,364,749	51	359,671,990
science-from-cord19	2021-01-11	COVID-19, SARS, RNA, cell, study	453	3,062,922	48	182,182,038
stevenson-from-gutenberg	2021-01-11	man, God, Mr., like, Sir	15	631,306	85	26,070,181
trump-from-cord19	2021-01-11	COVID-19, China, covid-19, United, Trump	227	1,070,370	52	48,539,758
twain-from-gutenberg	2021-01-11	Mr., time, man, good, Mary	7	176,060	84	9,355,949
unitedstates-from-cord19	2021-01-11	COVID-19, United, SARS, covid-19, influenza	288	1,352,274	49	58,699,849
christmas	2021-01-11	Christmas, little, Mrs., Mr., God	141	4,064,870	88	147,440,680
vaccine-from-cord19	2021-01-11	vaccine, SARS, virus, cell, dna	1,039	5,508,831	46	273,440,769
wastewater-from-cord19	2021-01-11	SARS, RNA, CoV-2, water, wastewater	56	220,798	48	10,150,056
wells-from-gutenberg	2021-01-11	thing, man, Mr., London, little	34	2,216,263	77	81,633,097
yeats-from-gutenberg	2021-01-11	man, old, like, Ireland, God	27	515,471	86	21,719,876
american-authors	2021-01-11	Mr., New, man, Mrs., York	96	5,760,380	77	212,279,599
catholic-pamphlets	2021-01-11	God, Church, Christ, Catholic, Lord	2,794	30,787,515	75	37,192,966,547
cord-1990	2021-01-11	Fig, cell, protein, mouse, Golgi	18	94,384	50	7,247,732
cord-2004	2021-01-11	SARS, Hong, virus, patient, Kong	121	505,908	49	26,939,898
cord-2015	2021-01-11	Fig, virus, RNA, PCR, cell	244	1,560,726	47	69,515,079
cord-2018-2019	2021-01-11	Fig, RNA, virus, patient, cell	786	4,792,883	47	197,018,116
cord-love	2021-01-11	privacy, observation, love, human, german	4	101,050	54	7,176,067
cryptococcus	2021-01-11	Cryptococcus, International, preprint, international, figure	50	683,129	63	288,993,698
death	2021-01-11	COVID-19, SARS, patient, covid-19, cell	1,210	8,342,445	47	328,163,788
