painting	2019-12-30	illustration, art, st.	56	3,837,483	64	137,744
marriage	2019-12-30	mrs., mr., miss	297	17,014,111	77	582,684
covid-19	2020-03-17	fig, figure, rna	13,200	60,888,248	42	2,354,224
irish-fiction	2019-12-30	mr., mrs., miss	85	8,124,231	79	392,932
knowledge	2019-12-30	god, mind, idea	30	2,330,815	61	80,452
henty	2019-12-30	english, colonel, illustration	43	4,713,596	78	180,400
history-netherlands	2019-12-30	king, netherlands, philip	115	4,299,208	59	260,052
plato	2019-12-30	socrates, plato, god	24	931,061	72	32,888
code4lib-jobs	2020-01-09	library, university, digital	2,541	1,489,154	23	81,192
happiness	2020-02-21	good, man, god	15	799,276	76	30,764
slavery	2020-02-21	mr., slave, god	168	9,232,741	71	432,468
catholic-pamphlets	2020-03-11	god, church, catholic	1,427	16,031,863	66	15,122,080
